viewDate,areaMunKm,areaUcKm,uc,uf,municipio
10/06/2021,0.71,0,,TO,Araguacema
17/09/2021,0.1,0,,TO,Paranã
17/09/2021,0.03,0,,TO,Paranã
17/09/2021,0.42,0,,TO,Arraias
17/09/2021,0.42,0,,TO,Paranã
20/09/2021,0.39,0,,TO,Ponte Alta do Bom Jesus
18/07/2021,1.47,0,,TO,Paranã
24/10/2021,0.44,0,,TO,Palmeirante
16/04/2021,0.71,0,,TO,Cristalândia
17/09/2021,0.63,0,,TO,Arraias
17/09/2021,0.84,0,,TO,Taipas do Tocantins
20/09/2021,0.22,0,,TO,Taguatinga
20/09/2021,0.18,0,,TO,Ponte Alta do Bom Jesus
20/09/2021,0.07,0,,TO,Palmeirópolis
20/09/2021,0.82,0,,TO,Arraias
20/09/2021,0.44,0,,TO,Palmeirópolis
20/09/2021,0.18,0,,TO,Paranã
20/09/2021,0.25,0,,TO,Paranã
20/09/2021,0.23,0,,TO,Taguatinga
20/09/2021,0.14,0,,TO,Paranã
20/09/2021,0.19,0,,TO,Aurora do Tocantins
20/09/2021,0.36,0,,TO,Paranã
20/09/2021,0.2,0,,TO,Taguatinga
19/06/2021,2.54,0,,TO,Lizarda
20/09/2021,0.56,0,,TO,Taguatinga
22/09/2021,0.17,0,,TO,Lagoa da Confusão
22/09/2021,0.63,0,,TO,Lagoa da Confusão
22/09/2021,0.31,0,,TO,Lagoa da Confusão
22/09/2021,0.13,0,,TO,Lagoa da Confusão
22/09/2021,0.17,0,,TO,Pium
22/09/2021,0.33,0,,TO,Lagoa da Confusão
22/09/2021,0.63,0,,TO,Lagoa da Confusão
22/09/2021,2.3,0,,TO,Nova Olinda
22/09/2021,0.16,0,,TO,Formoso do Araguaia
22/09/2021,0.47,0,,TO,Couto Magalhães
22/09/2021,0.17,0,,TO,Lagoa da Confusão
22/09/2021,0.21,0,,TO,Lagoa da Confusão
22/09/2021,0.16,0,,TO,Goiatins
22/09/2021,0.18,0,,TO,Rio dos Bois
22/09/2021,0.3,0,,TO,Itapiratins
13/06/2021,0.03,0,,TO,Tupirama
25/11/2021,0.41,0,,TO,Paranã
25/11/2021,0.25,0,,TO,Araguaçu
30/05/2021,0.16,0,,TO,Jaú do Tocantins
30/05/2021,0.31,0,,TO,Paranã
25/11/2021,0.16,0,,TO,Paranã
25/11/2021,0.53,0,,TO,Paranã
27/05/2021,0.08,0,,TO,Santa Maria do Tocantins
14/09/2021,1.13,0,,TO,Santa Rita do Tocantins
11/06/2021,2.96,0,,TO,Conceição do Tocantins
11/09/2021,6.88,0,,TO,Sandolândia
14/09/2021,0.25,0,,TO,Monte do Carmo
04/06/2021,4.42,0,,TO,Lagoa da Confusão
14/09/2021,0.15,0,,TO,Peixe
07/12/2021,0.91,0,,TO,Natividade
11/09/2021,0.94,0,,TO,Lagoa da Confusão
14/09/2021,0.2,0,,TO,Peixe
09/07/2021,0.55,0,,TO,Formoso do Araguaia
14/09/2021,0.09,0,,TO,Peixe
09/07/2021,0.3,0,,TO,Presidente Kennedy
22/11/2021,1.48,0,,TO,Tupirama
30/05/2021,0.14,0,,TO,Arraias
11/09/2021,2.07,0,,TO,Palmeirante
30/05/2021,0.16,0,,TO,Jaú do Tocantins
30/05/2021,0.14,0,,TO,Arraias
21/10/2021,1.26,0,,TO,Cariri do Tocantins
11/09/2021,0.11,0,,TO,Sandolândia
16/04/2021,0.12,0,,TO,Cariri do Tocantins
16/04/2021,0.31,0,,TO,Dueré
30/05/2021,0.28,0,,TO,Arraias
11/09/2021,0.15,0,,TO,Sandolândia
11/09/2021,0.33,0,,TO,Babaçulândia
11/09/2021,0.27,0,,TO,Araguaçu
30/05/2021,0.01,0,,TO,Porangatu
30/05/2021,0.08,0,,TO,Talismã
05/06/2021,0.12,0,,TO,Taguatinga
11/09/2021,0.64,0,,TO,Araguacema
11/09/2021,0.17,0,,TO,Filadélfia
11/09/2021,0.02,0,,TO,Carolina
11/09/2021,1.74,0,,TO,Lagoa da Confusão
05/06/2021,0.23,0,,TO,Taguatinga
12/07/2021,0.73,0,,TO,Itacajá
22/11/2021,0.21,0,,TO,Darcinópolis
22/11/2021,1.05,0,,TO,Darcinópolis
22/11/2021,0.41,0,,TO,Darcinópolis
22/11/2021,0.24,0,,TO,Divinópolis do Tocantins
11/09/2021,1.5,0,,TO,Lagoa da Confusão
05/06/2021,0.26,0,,TO,Brejinho de Nazaré
30/05/2021,0.27,0,,TO,Paranã
05/06/2021,1.27,0,,TO,Rio Sono
05/06/2021,0.57,0,,TO,Peixe
09/07/2021,0.43,0,,TO,Wanderlândia
11/06/2021,0.31,0,,TO,Conceição do Tocantins
05/06/2021,0.18,0,,TO,Brejinho de Nazaré
11/09/2021,2.3,0,,TO,Araguacema
13/06/2021,0.3,0,,TO,Porto Nacional
13/06/2021,0.13,0,,TO,Tupirama
11/09/2021,0.37,0,,TO,Araguacema
09/07/2021,0.21,0,,TO,Bom Jesus do Tocantins
11/09/2021,3.09,0,,TO,Mateiros
13/06/2021,0.81,0,,TO,Goiatins
22/11/2021,0.17,0,,TO,Darcinópolis
13/06/2021,0.2,0,,TO,Tupirama
05/06/2021,0.21,0,,TO,Almas
05/06/2021,0.11,0,,TO,Silvanópolis
11/04/2021,0.72,0,,TO,Tocantínia
05/06/2021,0.12,0,,TO,Silvanópolis
13/06/2021,0.26,0,,TO,Palmeirante
19/11/2021,0.16,0,,TO,Santa Rita do Tocantins
19/11/2021,0.1,0,,TO,Santa Rita do Tocantins
05/06/2021,0.72,0,,TO,Palmas
10/05/2021,0.21,0,,TO,Lizarda
11/04/2021,0.29,0,,TO,Novo Acordo
19/11/2021,0.4,0,,TO,Formoso do Araguaia
05/06/2021,0.43,0,,TO,Almas
11/04/2021,0.29,0,,TO,Ponte Alta do Tocantins
11/04/2021,0.14,0,,TO,Arraias
19/11/2021,0.25,0,,TO,Crixás do Tocantins
19/11/2021,0.3,0,,TO,Crixás do Tocantins
11/04/2021,0.11,0,,TO,Porto Nacional
19/11/2021,0.26,0,,TO,Ponte Alta do Tocantins
19/11/2021,0.08,0,,TO,Crixás do Tocantins
11/04/2021,0.27,0,,TO,Peixe
11/04/2021,0.08,0,,TO,Peixe
13/06/2021,0.46,0,,TO,Campos Lindos
19/11/2021,0.48,0,,TO,Ponte Alta do Tocantins
11/04/2021,0.37,0,,TO,Peixe
19/11/2021,0.08,0,,TO,Ponte Alta do Tocantins
13/06/2021,0.23,0,,TO,Itacajá
19/11/2021,0.35,0,,TO,Dois Irmãos do Tocantins
